バス停番号,バス停名称,緯度,経度,判定
0,芝浦車庫,35.63856,139.75055,TRUE
54,芝浦四丁目,35.63965,139.74725,TRUE
55,八千代橋,35.64094,139.74768,TRUE
1,田町駅東口,35.64465,139.74824,TRUE
2,藻塩橋,35.64301,139.74629,TRUE
3,田町駅前,35.6467,139.74657,TRUE
4,浅草線三田駅前,35.64745,139.74819,TRUE
5,三田線三田駅前,35.64814,139.74876,TRUE
6,芝五丁目,35.64998,139.7484,TRUE
7,芝三丁目,35.651,139.74737,TRUE
8,芝三丁目北,35.65292,139.74683,TRUE
9,赤羽橋南,35.65406,139.74532,TRUE
10,赤羽橋駅前,35.65417,139.7442,TRUE
11,中ノ橋,35.65445,139.7419,TRUE
12,三田一丁目,35.65479,139.73978,TRUE
13,麻布十番駅前（一の橋）,35.6557,139.73699,TRUE
14,麻布十番,35.65654,139.73549,TRUE
1402,鳥居坂下,35.65775,139.73265,TRUE
15,六本木けやき坂,35.65914,139.72996,TRUE
16,六本木ヒルズ,35.66057,139.72955,TRUE
17,六本木駅前,35.66296,139.73308,TRUE
18,麻布地区総合支所前,35.66077,139.73477,TRUE
19,東洋英和女学院前,35.65916,139.7344,TRUE
20,麻布十番公共駐車場前,35.65696,139.73452,TRUE
21,法務局入口,35.65603,139.7392,TRUE
22,東麻布二丁目,35.65551,139.74114,TRUE
23,中ノ橋,35.65455,139.74196,TRUE
24,赤羽橋駅前,35.65431,139.7443,TRUE
25,赤羽橋,35.6535,139.74525,TRUE
26,芝三丁目西,35.65129,139.74509,TRUE
27,芝三丁目南,35.65021,139.74667,TRUE
28,三田線三田駅前,35.64852,139.74904,TRUE
29,浅草線三田駅前,35.64726,139.74842,TRUE
30,田町駅西口,35.64649,139.74665,TRUE
31,藻塩橋,35.64312,139.74631,TRUE
56,八千代橋,35.64074,139.74789,TRUE
57,芝浦四丁目,35.63959,139.74757,TRUE
32,六本木けやき坂,35.65923,139.73061,TRUE
33,六本木七丁目南,35.66208,139.72944,TRUE
34,六本木駅前,35.66281,139.73105,TRUE
35,六本木交差点北,35.66361,139.73175,TRUE
36,六本木七丁目,35.66503,139.72996,TRUE
37,乃木坂駅入口,35.66617,139.72834,TRUE
38,赤坂小前,35.66885,139.73123,TRUE
39,赤坂五丁目交番前,35.67006,139.73353,TRUE
40,赤坂駅前,35.67176,139.73577,TRUE
4002,溜池山王駅,35.6708,139.7412,TRUE
41,山王下,35.67339,139.7391,TRUE
42,赤坂見附駅,35.67748,139.73689,TRUE
43,豊川稲荷前,35.67589,139.73306,TRUE
44,赤坂地区総合支所前,35.67495,139.73151,TRUE
45,高橋是清翁記念公園前,35.67409,139.72865,TRUE
46,赤坂郵便局前,35.67325,139.72612,TRUE
47,青山一丁目駅前,35.67246,139.72432,TRUE
48,南青山一丁目,35.67199,139.72527,TRUE
49,赤坂八丁目,35.67102,139.72655,TRUE
50,山王病院前,35.66954,139.72692,TRUE
51,乃木公園,35.66814,139.72727,TRUE
5102,赤坂六丁目,35.66843,139.7328,TRUE
52,檜町公園,35.66655,139.73339,TRUE
53,六本木駅前,35.66258,139.73114,TRUE
58,新橋駅,35.66599,139.75965,TRUE
59,新橋駅北口,35.66783,139.75683,TRUE
60,西新橋二丁目,35.66732,139.75291,TRUE
61,虎ノ門一丁目,35.66844,139.74964,TRUE
62,虎ノ門二丁目,35.66898,139.74812,TRUE
63,愛宕一丁目,35.66625,139.74926,TRUE
65,慈恵医大病院入口,35.66304,139.75256,TRUE
66,愛宕警察署,35.66084,139.75301,TRUE
67,御成門駅,35.66063,139.75145,TRUE
68,港区役所,35.65807,139.7505,TRUE
69,芝公園駅,35.65529,139.75013,TRUE
6902,芝園橋,35.65285,139.74999,TRUE
70,金杉橋,35.65284,139.75359,TRUE
71,芝一丁目,35.6503,139.7537,TRUE
72,芝四丁目,35.64942,139.75176,TRUE
163,みなとパーク芝浦,35.64705,139.7514,TRUE
7302,芝四丁目,35.64955,139.75186,TRUE
74,芝一丁目,35.64996,139.75326,TRUE
75,金杉橋,35.6527,139.75337,TRUE
7502,芝園橋,35.65275,139.75002,TRUE
76,芝公園駅,35.65532,139.74986,TRUE
