路線番号,路線名,順序,バス停番号,
1,田町ルート,1,0,芝浦車庫
1,田町ルート,2,9080,芝浦四丁目交差点南西
1,田町ルート,3,54,芝浦四丁目
1,田町ルート,4,55,八千代橋
1,田町ルート,5,9173,八千代橋交差点南西
1,田町ルート,6,9063,三田警察署前交差点西
1,田町ルート,7,9145,田町駅東口交差点西
1,田町ルート,8,1,田町駅東口
1,田町ルート,9,9146,田町駅東口交差点東
1,田町ルート,10,2,藻塩橋
1,田町ルート,11,9065,三田警察署前交差点南
1,田町ルート,12,9062,札の辻交差点北西
1,田町ルート,13,3,田町駅前
1,田町ルート,14,4,浅草線三田駅前
1,田町ルート,15,9088,芝五丁目交差点北西
1,田町ルート,16,5,三田線三田駅前
1,田町ルート,17,9090,芝三丁目交差点南西
1,田町ルート,18,6,芝五丁目
1,田町ルート,19,9077,芝パークタワー交差点南西
1,田町ルート,20,7,芝三丁目
1,田町ルート,21,9001,NTT三田ビル交差点南西
1,田町ルート,22,8,芝三丁目北
1,田町ルート,23,9,赤羽橋南
1,田町ルート,24,10,赤羽橋駅前
1,田町ルート,25,11,中ノ橋
1,田町ルート,26,12,三田一丁目
1,田町ルート,27,9016,一の橋交差点南西
1,田町ルート,28,13,麻布十番駅前（一の橋）
1,田町ルート,29,9099,新一の橋交差点南西
1,田町ルート,30,14,麻布十番
1,田町ルート,31,9136,鳥居坂南交差点南東
1,田町ルート,32,1402,鳥居坂下
1,田町ルート,33,9017,芋洗坂交差点南西
1,田町ルート,34,15,六本木けやき坂
1,田町ルート,35,16,六本木ヒルズ
1,田町ルート,36,9203,六本木六丁目交差点西
1,田町ルート,37,9202,六本木交差点北
1,田町ルート,38,17,六本木駅前
1,田町ルート,39,9141,鳥居坂北交差点北東
1,田町ルート,40,18,麻布地区総合支所前
1,田町ルート,41,19,東洋英和女学院前
1,田町ルート,42,9138,鳥居坂南交差点北東
1,田町ルート,43,20,麻布十番公共駐車場前
1,田町ルート,44,21,法務局入口
1,田町ルート,45,22,東麻布二丁目
1,田町ルート,46,9134,中ノ橋北交差点北東
1,田町ルート,47,9133,中ノ橋南交差点北東
1,田町ルート,48,23,中ノ橋
